1,-2.74,0.34
1,4.26,-0.66
1,-1.74,0.34
1,1.26,-0.66
1,-0.74,0.34
1,-0.74,0.34
1,0.26,0.34
1,-3.74,-0.66
1,-4.74,0.34
1,0.26,-0.66
1,-3.74,-0.66
1,-0.74,0.34
1,-1.74,0.34
1,-2.74,-0.66
1,1.26,0.34
1,8.26,0.34
1,-0.74,0.34
1,-3.74,-0.66
1,3.26,-0.66
1,9.26,-0.66
1,3.26,-0.66
1,-6.74,0.34
1,9.26,0.34
1,7.26,-0.66
1,2.26,0.34
1,0.26,0.34
1,1.26,0.34
1,-5.74,0.34
1,5.26,0.34
1,-4.74,-0.66
1,4.26,-0.66
1,-3.74,-0.66
1,-1.74,0.34
1,-6.74,0.34
1,-3.74,0.34
1,6.26,0.34
1,3.26,0.34
1,9.26,-0.66
1,-2.74,0.34
1,-3.74,0.34
1,0.26,0.34
1,-2.74,0.34
1,-0.74,0.34
1,-3.74,0.34
1,6.26,0.34
1,-1.74,-0.66
1,-2.74,0.34
1,-6.74,-0.66
1,-4.74,0.34
1,4.26,0.34